2025-11-25 19:39:45,239 | core.trading.stages.build_order | INFO | 📝 Order built | SHORT size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 19:39:45,242 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 19:39:45,244 | core.trading.stages.build_order | INFO | 📝 Order built | SHORT size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 19:39:45,245 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 19:39:45,247 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 19:39:45,249 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,251 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,253 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,255 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,257 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,258 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,260 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,264 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,268 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,272 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,275 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,278 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,281 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,285 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,288 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
