2025-11-25 17:16:00,003 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 17:20:00,002 | core.trading.stages.build_order | INFO | 📝 Order built | SHORT size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 17:24:00,002 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 17:25:00,539 | core.trading.stages.build_order | INFO | 📝 Order built | SHORT size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 17:30:00,002 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 17:32:00,002 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 17:34:00,002 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 17:36:00,017 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 17:38:00,003 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 17:40:00,003 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 17:42:00,003 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 17:44:00,002 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 17:46:00,003 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 17:48:00,212 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 17:50:00,006 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 17:52:00,005 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 17:54:00,004 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 17:56:00,004 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 17:58:00,005 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 18:01:00,007 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 18:03:00,007 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 18:05:00,006 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 18:07:00,005 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 18:09:00,006 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 18:11:05,314 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 18:13:00,008 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 18:15:00,004 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 18:17:00,004 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 18:19:00,004 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 18:21:00,005 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 18:23:00,004 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 18:25:00,004 | core.trading.stages.build_order | INFO | 📝 Order built | SHORT size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 18:27:00,006 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 18:28:00,005 | core.trading.stages.build_order | INFO | 📝 Order built | SHORT size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 18:30:00,005 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 18:32:00,525 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
