timestamp,trade_id,market,symbol,timeframe,side,action,result,exit_reason,bars_held,entry_price,trigger_price,pnl,pnl_pct,fee,balance,ghost
2025-09-13T20:15:00+00:00,BTCUSDT@5m-LONG-2025-09-13T20:15:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,LOSS,SL,335,115878.45310999999,114951.42548511998,0.0,-0.008,0.0,,True
2025-09-13T20:20:00+00:00,BTCUSDT@5m-LONG-2025-09-13T20:20:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,LOSS,SL,334,115873.15151999998,114946.16630783999,0.0,-0.008,0.0,,True
2025-09-13T20:30:00+00:00,BTCUSDT@5m-SHORT-2025-09-13T20:30:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,WIN,TP,494,115837.83822,114447.78416136,0.0,0.012,0.0,,True
2025-09-13T20:40:00+00:00,BTCUSDT@5m-LONG-2025-09-13T20:40:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,LOSS,SL,330,115834.33988,114907.66516096,0.0,-0.008,0.0,,True
2025-09-13T20:50:00+00:00,BTCUSDT@5m-SHORT-2025-09-13T20:50:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,399,115809.24680000001,116735.7207744,0.0,-0.008,0.0,,True
2025-09-13T21:05:00+00:00,BTCUSDT@5m-SHORT-2025-09-13T21:05:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,WIN,TP,487,115894.12133,114503.39187404,0.0,0.012,0.0,,True
2025-09-13T21:20:00+00:00,BTCUSDT@5m-SHORT-2025-09-13T21:20:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,WIN,TP,484,115873.02766,114482.55132808001,0.0,0.012,0.0,,True
2025-09-13T21:25:00+00:00,BTCUSDT@5m-SHORT-2025-09-13T21:25:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,WIN,TP,483,115873.62748,114483.14395023999,0.0,0.012,0.0,,True
2025-09-13T21:30:00+00:00,BTCUSDT@5m-LONG-2025-09-13T21:30:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,LOSS,SL,320,115936.07039,115008.58182687999,0.0,-0.008,0.0,,True
2025-09-13T21:35:00+00:00,BTCUSDT@5m-LONG-2025-09-13T21:35:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,LOSS,SL,319,115922.7664,114995.38426879999,0.0,-0.008,0.0,,True
2025-09-13T21:40:00+00:00,BTCUSDT@5m-LONG-2025-09-13T21:40:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,LOSS,SL,318,115834.73999999999,114908.06207999999,0.0,-0.008,0.0,,True
2025-09-13T21:45:00+00:00,BTCUSDT@5m-LONG-2025-09-13T21:45:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,LOSS,SL,317,115834.73999999999,114908.06207999999,0.0,-0.008,0.0,,True
2025-09-13T21:50:00+00:00,BTCUSDT@5m-LONG-2025-09-13T21:50:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,LOSS,SL,316,115825.93736,114899.32986112,0.0,-0.008,0.0,,True
2025-09-13T22:00:00+00:00,BTCUSDT@5m-SHORT-2025-09-13T22:00:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,WIN,TP,476,115843.53651,114453.41407188,0.0,0.012,0.0,,True
2025-09-13T22:05:00+00:00,BTCUSDT@5m-SHORT-2025-09-13T22:05:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,WIN,TP,475,115849.03486,114458.84644168,0.0,0.012,0.0,,True
2025-09-13T22:15:00+00:00,BTCUSDT@5m-CONFLICT-2025-09-13T22:15:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,LOSS,SL,311,115837.54084,114910.84051328,0.0,-0.008,0.0,,True
2025-09-13T22:20:00+00:00,BTCUSDT@5m-LONG-2025-09-13T22:20:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,LOSS,SL,310,115839.74149999999,114913.02356799999,0.0,-0.008,0.0,,True
2025-09-13T22:30:00+00:00,BTCUSDT@5m-LONG-2025-09-13T22:30:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,LOSS,SL,308,115823.03649,114896.45219807999,0.0,-0.008,0.0,,True
2025-09-13T22:35:00+00:00,BTCUSDT@5m-SHORT-2025-09-13T22:35:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,378,115792.45184,116718.79145471999,0.0,-0.008,0.0,,True
2025-09-13T22:40:00+00:00,BTCUSDT@5m-SHORT-2025-09-13T22:40:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,377,115800.94929,116727.35688432,0.0,-0.008,0.0,,True
2025-09-13T22:55:00+00:00,BTCUSDT@5m-CONFLICT-2025-09-13T22:55:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,LOSS,SL,303,115862.94846,114936.04487232,0.0,-0.008,0.0,,True
2025-09-13T23:00:00+00:00,BTCUSDT@5m-SHORT-2025-09-13T23:00:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,373,115822.14293,116748.72007344,0.0,-0.008,0.0,,True
2025-09-13T23:10:00+00:00,BTCUSDT@5m-LONG-2025-09-13T23:10:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,LOSS,SL,300,115879.15332,114952.12009344,0.0,-0.008,0.0,,True
